Latitude,Longitude,Date,Temperature
12.400002,106.70001,2024-05-19,28.9
12.400002,106.70001,2024-05-20,28.0
12.400002,106.70001,2024-05-21,26.9
12.400002,106.70001,2024-05-22,28.3
12.400002,106.70001,2024-05-23,28.0
12.400002,106.70001,2024-05-24,29.3
12.400002,106.70001,2024-05-25,29.0
12.400002,106.70001,2024-05-26,27.9
12.400002,106.70001,2024-05-27,28.8
12.400002,106.70001,2024-05-28,27.7
12.400002,106.70001,2024-05-29,27.5
12.400002,106.70001,2024-05-30,26.7
12.700005,107.100006,2024-05-19,28.5
12.700005,107.100006,2024-05-20,27.5
12.700005,107.100006,2024-05-21,26.2
12.700005,107.100006,2024-05-22,27.5
12.700005,107.100006,2024-05-23,27.2
12.700005,107.100006,2024-05-24,28.2
12.700005,107.100006,2024-05-25,28.1
12.700005,107.100006,2024-05-26,26.8
12.700005,107.100006,2024-05-27,28.2
12.700005,107.100006,2024-05-28,27.5
12.700005,107.100006,2024-05-29,26.7
12.700005,107.100006,2024-05-30,26.0
12.599998,107.100006,2024-05-19,27.7
12.599998,107.100006,2024-05-20,26.7
12.599998,107.100006,2024-05-21,25.6
12.599998,107.100006,2024-05-22,26.9
12.599998,107.100006,2024-05-23,26.6
12.599998,107.100006,2024-05-24,27.7
12.599998,107.100006,2024-05-25,27.4
12.599998,107.100006,2024-05-26,26.3
12.599998,107.100006,2024-05-27,27.5
12.599998,107.100006,2024-05-28,26.8
12.599998,107.100006,2024-05-29,26.2
12.599998,107.100006,2024-05-30,25.6
12.700005,107.0,2024-05-19,29.0
12.700005,107.0,2024-05-20,27.9
12.700005,107.0,2024-05-21,26.7
12.700005,107.0,2024-05-22,28.1
12.700005,107.0,2024-05-23,27.7
12.700005,107.0,2024-05-24,28.9
12.700005,107.0,2024-05-25,28.7
12.700005,107.0,2024-05-26,27.2
12.700005,107.0,2024-05-27,28.6
12.700005,107.0,2024-05-28,28.0
12.700005,107.0,2024-05-29,27.1
12.700005,107.0,2024-05-30,26.4
12.5,107.100006,2024-05-19,26.4
12.5,107.100006,2024-05-20,25.5
12.5,107.100006,2024-05-21,24.6
12.5,107.100006,2024-05-22,26.0
12.5,107.100006,2024-05-23,25.7
12.5,107.100006,2024-05-24,26.7
12.5,107.100006,2024-05-25,26.3
12.5,107.100006,2024-05-26,25.4
12.5,107.100006,2024-05-27,26.4
12.5,107.100006,2024-05-28,25.8
12.5,107.100006,2024-05-29,25.4
12.5,107.100006,2024-05-30,24.7
12.300003,106.70001,2024-05-19,28.7
12.300003,106.70001,2024-05-20,27.9
12.300003,106.70001,2024-05-21,26.7
12.300003,106.70001,2024-05-22,28.1
12.300003,106.70001,2024-05-23,27.8
12.300003,106.70001,2024-05-24,29.3
12.300003,106.70001,2024-05-25,28.8
12.300003,106.70001,2024-05-26,28.0
12.300003,106.70001,2024-05-27,28.6
12.300003,106.70001,2024-05-28,27.5
12.300003,106.70001,2024-05-29,27.5
12.300003,106.70001,2024-05-30,26.5
12.300003,107.100006,2024-05-19,26.4
12.300003,107.100006,2024-05-20,25.6
12.300003,107.100006,2024-05-21,24.5
12.300003,107.100006,2024-05-22,26.3
12.300003,107.100006,2024-05-23,25.8
12.300003,107.100006,2024-05-24,27.1
12.300003,107.100006,2024-05-25,26.4
12.300003,107.100006,2024-05-26,25.6
12.300003,107.100006,2024-05-27,26.5
12.300003,107.100006,2024-05-28,25.7
12.300003,107.100006,2024-05-29,25.6
12.300003,107.100006,2024-05-30,24.8
12.400002,106.899994,2024-05-19,28.1
12.400002,106.899994,2024-05-20,27.2
12.400002,106.899994,2024-05-21,26.1
12.400002,106.899994,2024-05-22,27.7
12.400002,106.899994,2024-05-23,27.3
12.400002,106.899994,2024-05-24,28.7
12.400002,106.899994,2024-05-25,28.2
12.400002,106.899994,2024-05-26,27.1
12.400002,106.899994,2024-05-27,28.0
12.400002,106.899994,2024-05-28,27.1
12.400002,106.899994,2024-05-29,26.8
12.400002,106.899994,2024-05-30,26.1
12.300003,106.80002,2024-05-19,28.5
12.300003,106.80002,2024-05-20,27.6
12.300003,106.80002,2024-05-21,26.4
12.300003,106.80002,2024-05-22,28.0
12.300003,106.80002,2024-05-23,27.6
12.300003,106.80002,2024-05-24,29.1
12.300003,106.80002,2024-05-25,28.6
12.300003,106.80002,2024-05-26,27.7
12.300003,106.80002,2024-05-27,28.4
12.300003,106.80002,2024-05-28,27.4
12.300003,106.80002,2024-05-29,27.2
12.300003,106.80002,2024-05-30,26.3
12.599998,106.80002,2024-05-19,28.9
12.599998,106.80002,2024-05-20,27.9
12.599998,106.80002,2024-05-21,26.8
12.599998,106.80002,2024-05-22,28.2
12.599998,106.80002,2024-05-23,28.1
12.599998,106.80002,2024-05-24,29.3
12.599998,106.80002,2024-05-25,28.8
12.599998,106.80002,2024-05-26,27.5
12.599998,106.80002,2024-05-27,28.7
12.599998,106.80002,2024-05-28,27.9
12.599998,106.80002,2024-05-29,27.3
12.599998,106.80002,2024-05-30,26.6
12.5,106.70001,2024-05-19,29.2
12.5,106.70001,2024-05-20,28.2
12.5,106.70001,2024-05-21,27.1
12.5,106.70001,2024-05-22,28.4
12.5,106.70001,2024-05-23,28.3
12.5,106.70001,2024-05-24,29.5
12.5,106.70001,2024-05-25,29.1
12.5,106.70001,2024-05-26,27.9
12.5,106.70001,2024-05-27,28.9
12.5,106.70001,2024-05-28,28.0
12.5,106.70001,2024-05-29,27.7
12.5,106.70001,2024-05-30,26.8
12.700005,106.899994,2024-05-19,29.0
12.700005,106.899994,2024-05-20,28.0
12.700005,106.899994,2024-05-21,26.8
12.700005,106.899994,2024-05-22,28.2
12.700005,106.899994,2024-05-23,28.0
12.700005,106.899994,2024-05-24,29.3
12.700005,106.899994,2024-05-25,28.8
12.700005,106.899994,2024-05-26,27.3
12.700005,106.899994,2024-05-27,28.7
12.700005,106.899994,2024-05-28,28.0
12.700005,106.899994,2024-05-29,27.2
12.700005,106.899994,2024-05-30,26.5
12.400002,107.0,2024-05-19,27.0
12.400002,107.0,2024-05-20,26.2
12.400002,107.0,2024-05-21,25.1
12.400002,107.0,2024-05-22,26.7
12.400002,107.0,2024-05-23,26.4
12.400002,107.0,2024-05-24,27.7
12.400002,107.0,2024-05-25,27.0
12.400002,107.0,2024-05-26,26.0
12.400002,107.0,2024-05-27,27.0
12.400002,107.0,2024-05-28,26.3
12.400002,107.0,2024-05-29,25.9
12.400002,107.0,2024-05-30,25.2
12.599998,106.70001,2024-05-19,29.2
12.599998,106.70001,2024-05-20,28.2
12.599998,106.70001,2024-05-21,27.1
12.599998,106.70001,2024-05-22,28.5
12.599998,106.70001,2024-05-23,28.4
12.599998,106.70001,2024-05-24,29.5
12.599998,106.70001,2024-05-25,29.1
12.599998,106.70001,2024-05-26,27.8
12.599998,106.70001,2024-05-27,29.0
