Latitude,Longitude,Date,Temperature
12.400002,106.70001,2023-05-19,29.2
12.400002,106.70001,2023-05-20,28.8
12.400002,106.70001,2023-05-21,27.5
12.400002,106.70001,2023-05-22,27.4
12.400002,106.70001,2023-05-23,28.3
12.400002,106.70001,2023-05-24,28.5
12.400002,106.70001,2023-05-25,26.8
12.400002,106.70001,2023-05-26,27.2
12.400002,106.70001,2023-05-27,26.0
12.400002,106.70001,2023-05-28,25.2
12.400002,106.70001,2023-05-29,26.2
12.400002,106.70001,2023-05-30,26.2
12.400002,106.70001,2023-05-31,26.6
12.400002,106.70001,2023-06-01,26.4
12.400002,106.70001,2023-06-02,27.1
12.400002,106.70001,2023-06-03,27.8
12.400002,106.70001,2023-06-04,27.3
12.400002,106.70001,2023-06-05,26.7
12.400002,106.70001,2023-06-06,25.2
12.400002,106.70001,2023-06-07,25.2
12.400002,106.70001,2023-06-08,25.9
12.400002,106.70001,2023-06-09,26.3
12.400002,106.70001,2023-06-10,25.8
12.400002,106.70001,2023-06-11,25.6
12.400002,106.70001,2023-06-12,26.0
12.400002,106.70001,2023-06-13,26.7
12.400002,106.70001,2023-06-14,26.8
12.400002,106.70001,2023-06-15,27.4
12.400002,106.70001,2023-06-16,26.5
12.400002,106.70001,2023-06-17,26.2
12.400002,106.70001,2023-06-18,25.0
12.400002,106.70001,2023-06-19,27.1
12.400002,106.70001,2023-06-20,27.4
12.400002,106.70001,2023-06-21,26.7
12.400002,106.70001,2023-06-22,27.4
12.400002,106.70001,2023-06-23,28.2
12.400002,106.70001,2023-06-24,27.0
12.400002,106.70001,2023-06-25,26.7
12.400002,106.70001,2023-06-26,26.6
12.400002,106.70001,2023-06-27,26.2
12.400002,106.70001,2023-06-28,26.1
12.400002,106.70001,2023-06-29,25.9
12.400002,106.70001,2023-06-30,25.8
12.400002,106.70001,2023-07-01,25.3
12.400002,106.70001,2023-07-02,25.1
12.400002,106.70001,2023-07-03,26.4
12.400002,106.70001,2023-07-04,26.0
12.400002,106.70001,2023-07-05,26.6
12.400002,106.70001,2023-07-06,26.3
12.400002,106.70001,2023-07-07,27.1
12.400002,106.70001,2023-07-08,26.4
12.400002,106.70001,2023-07-09,25.7
12.400002,106.70001,2023-07-10,26.9
12.400002,106.70001,2023-07-11,26.9
12.400002,106.70001,2023-07-12,26.5
12.400002,106.70001,2023-07-13,26.3
12.400002,106.70001,2023-07-14,26.1
12.400002,106.70001,2023-07-15,26.0
12.400002,106.70001,2023-07-16,25.6
12.400002,106.70001,2023-07-17,25.5
12.400002,106.70001,2023-07-18,25.5
12.400002,106.70001,2023-07-19,25.9
12.400002,106.70001,2023-07-20,25.0
12.400002,106.70001,2023-07-21,25.2
12.400002,106.70001,2023-07-22,25.5
12.400002,106.70001,2023-07-23,25.2
12.400002,106.70001,2023-07-24,24.5
12.400002,106.70001,2023-07-25,25.2
12.400002,106.70001,2023-07-26,25.2
12.400002,106.70001,2023-07-27,25.4
12.400002,106.70001,2023-07-28,26.3
12.400002,106.70001,2023-07-29,25.3
12.400002,106.70001,2023-07-30,25.4
12.400002,106.70001,2023-07-31,25.6
12.400002,106.70001,2023-08-01,25.2
12.400002,106.70001,2023-08-02,25.4
12.400002,106.70001,2023-08-03,25.5
12.400002,106.70001,2023-08-04,25.5
12.400002,106.70001,2023-08-05,26.5
12.400002,106.70001,2023-08-06,26.6
12.400002,106.70001,2023-08-07,27.1
12.400002,106.70001,2023-08-08,27.1
12.400002,106.70001,2023-08-09,27.4
12.400002,106.70001,2023-08-10,27.3
12.400002,106.70001,2023-08-11,27.1
12.400002,106.70001,2023-08-12,27.0
12.400002,106.70001,2023-08-13,27.0
12.400002,106.70001,2023-08-14,26.4
12.400002,106.70001,2023-08-15,26.2
12.400002,106.70001,2023-08-16,26.5
12.400002,106.70001,2023-08-17,26.0
12.400002,106.70001,2023-08-18,26.0
12.400002,106.70001,2023-08-19,27.0
12.400002,106.70001,2023-08-20,26.2
12.400002,106.70001,2023-08-21,25.5
12.400002,106.70001,2023-08-22,26.3
12.400002,106.70001,2023-08-23,26.2
12.400002,106.70001,2023-08-24,26.6
12.400002,106.70001,2023-08-25,26.6
12.400002,106.70001,2023-08-26,26.4
12.400002,106.70001,2023-08-27,25.7
12.400002,106.70001,2023-08-28,26.2
12.400002,106.70001,2023-08-29,26.0
12.400002,106.70001,2023-08-30,25.7
12.400002,106.70001,2023-08-31,25.4
12.400002,106.70001,2023-09-01,25.4
12.400002,106.70001,2023-09-02,25.4
12.400002,106.70001,2023-09-03,26.1
12.400002,106.70001,2023-09-04,26.1
12.400002,106.70001,2023-09-05,25.2
12.400002,106.70001,2023-09-06,26.2
12.400002,106.70001,2023-09-07,26.7
12.400002,106.70001,2023-09-08,26.3
12.400002,106.70001,2023-09-09,26.1
12.400002,106.70001,2023-09-10,24.9
12.400002,106.70001,2023-09-11,25.6
12.400002,106.70001,2023-09-12,25.4
12.400002,106.70001,2023-09-13,24.9
12.400002,106.70001,2023-09-14,24.7
12.400002,106.70001,2023-09-15,25.1
12.400002,106.70001,2023-09-16,25.1
12.400002,106.70001,2023-09-17,25.7
12.400002,106.70001,2023-09-18,26.9
12.400002,106.70001,2023-09-19,27.2
12.400002,106.70001,2023-09-20,26.2
12.400002,106.70001,2023-09-21,25.4
12.400002,106.70001,2023-09-22,26.3
12.400002,106.70001,2023-09-23,26.2
12.400002,106.70001,2023-09-24,25.4
12.400002,106.70001,2023-09-25,25.4
12.400002,106.70001,2023-09-26,25.1
12.400002,106.70001,2023-09-27,24.8
12.400002,106.70001,2023-09-28,24.6
12.400002,106.70001,2023-09-29,26.4
12.400002,106.70001,2023-09-30,26.2
12.400002,106.70001,2023-10-01,25.8
12.400002,106.70001,2023-10-02,25.3
12.400002,106.70001,2023-10-03,24.3
12.400002,106.70001,2023-10-04,25.8
12.400002,106.70001,2023-10-05,26.0
12.400002,106.70001,2023-10-06,26.4
12.400002,106.70001,2023-10-07,26.0
12.400002,106.70001,2023-10-08,26.0
12.400002,106.70001,2023-10-09,25.6
12.400002,106.70001,2023-10-10,26.4
12.400002,106.70001,2023-10-11,27.1
12.400002,106.70001,2023-10-12,26.8
12.400002,106.70001,2023-10-13,26.0
12.400002,106.70001,2023-10-14,26.1
12.400002,106.70001,2023-10-15,25.4
12.400002,106.70001,2023-10-16,25.0
12.400002,106.70001,2023-10-17,25.9
12.400002,106.70001,2023-10-18,25.4
12.400002,106.70001,2023-10-19,26.0
12.400002,106.70001,2023-10-20,26.1
12.400002,106.70001,2023-10-21,26.5
12.400002,106.70001,2023-10-22,26.7
12.400002,106.70001,2023-10-23,25.5
12.400002,106.70001,2023-10-24,25.7
12.400002,106.70001,2023-10-25,24.8
12.400002,106.70001,2023-10-26,25.5
12.400002,106.70001,2023-10-27,26.4
12.400002,106.70001,2023-10-28,26.5
12.400002,106.70001,2023-10-29,26.1
12.400002,106.70001,2023-10-30,26.8
12.400002,106.70001,2023-10-31,26.3
12.400002,106.70001,2023-11-01,26.6
12.400002,106.70001,2023-11-02,25.8
12.400002,106.70001,2023-11-03,27.0
12.400002,106.70001,2023-11-04,26.9
12.400002,106.70001,2023-11-05,27.2
12.400002,106.70001,2023-11-06,27.1
12.400002,106.70001,2023-11-07,26.1
12.400002,106.70001,2023-11-08,26.7
12.400002,106.70001,2023-11-09,26.1
12.400002,106.70001,2023-11-10,26.5
12.400002,106.70001,2023-11-11,27.1
12.400002,106.70001,2023-11-12,27.0
12.400002,106.70001,2023-11-13,27.4
12.400002,106.70001,2023-11-14,27.3
12.400002,106.70001,2023-11-15,26.7
12.400002,106.70001,2023-11-16,26.7
12.400002,106.70001,2023-11-17,25.6
12.400002,106.70001,2023-11-18,24.4
12.400002,106.70001,2023-11-19,24.9
12.400002,106.70001,2023-11-20,25.2
12.400002,106.70001,2023-11-21,25.5
12.400002,106.70001,2023-11-22,26.3
12.400002,106.70001,2023-11-23,26.5
12.400002,106.70001,2023-11-24,25.9
12.400002,106.70001,2023-11-25,26.3
12.400002,106.70001,2023-11-26,26.9
12.400002,106.70001,2023-11-27,26.0
12.400002,106.70001,2023-11-28,26.3
12.400002,106.70001,2023-11-29,27.8
12.400002,106.70001,2023-11-30,27.9
12.400002,106.70001,2023-12-01,27.7
12.400002,106.70001,2023-12-02,27.6
12.400002,106.70001,2023-12-03,26.5
12.400002,106.70001,2023-12-04,27.7
12.400002,106.70001,2023-12-05,27.7
12.400002,106.70001,2023-12-06,28.0
12.400002,106.70001,2023-12-07,27.4
12.400002,106.70001,2023-12-08,27.2
12.400002,106.70001,2023-12-09,27.4
12.400002,106.70001,2023-12-10,27.4
12.400002,106.70001,2023-12-11,27.4
12.400002,106.70001,2023-12-12,27.9
12.400002,106.70001,2023-12-13,27.6
12.400002,106.70001,2023-12-14,28.5
12.400002,106.70001,2023-12-15,28.1
12.400002,106.70001,2023-12-16,28.2
12.400002,106.70001,2023-12-17,27.8
12.400002,106.70001,2023-12-18,27.8
12.400002,106.70001,2023-12-19,28.0
12.400002,106.70001,2023-12-20,26.8
12.400002,106.70001,2023-12-21,26.0
12.400002,106.70001,2023-12-22,24.8
12.400002,106.70001,2023-12-23,23.5
12.400002,106.70001,2023-12-24,24.2
12.400002,106.70001,2023-12-25,24.4
12.400002,106.70001,2023-12-26,26.0
12.400002,106.70001,2023-12-27,26.8
12.400002,106.70001,2023-12-28,27.5
12.400002,106.70001,2023-12-29,28.1
12.400002,106.70001,2023-12-30,28.2
12.400002,106.70001,2023-12-31,28.1
12.400002,106.70001,2024-01-01,27.7
12.400002,106.70001,2024-01-02,27.7
12.400002,106.70001,2024-01-03,27.0
12.400002,106.70001,2024-01-04,26.5
12.400002,106.70001,2024-01-05,26.7
12.400002,106.70001,2024-01-06,27.4
12.400002,106.70001,2024-01-07,27.4
12.400002,106.70001,2024-01-08,27.8
12.400002,106.70001,2024-01-09,27.8
12.400002,106.70001,2024-01-10,27.9
12.400002,106.70001,2024-01-11,27.3
12.400002,106.70001,2024-01-12,26.8
12.400002,106.70001,2024-01-13,26.4
12.400002,106.70001,2024-01-14,26.1
