time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,soil_moisture_0_to_10cm_mean
01/01/2000,27.1,32.7,22.6,70,0,0.362
02/01/2000,26.1,31.7,21.2,71,0.22,0.36
03/01/2000,25.4,31.1,21.5,67,0,0.357
04/01/2000,24.2,29.1,20.1,69,0,0.355
05/01/2000,23.7,29.2,19.6,66,0,0.351
06/01/2000,22.8,27.8,19.3,69,0,0.35
07/01/2000,22.9,27.1,19.6,65,0,0.348
08/01/2000,23.4,28.1,19.9,63,0,0.344
09/01/2000,24.3,27.9,20.5,70,0,0.345
10/01/2000,24.3,29,20.9,65,0,0.342
11/01/2000,22.6,26.8,19.1,64,0,0.337
12/01/2000,21.1,26.3,16.4,64,0,0.334
13/01/2000,20.7,26.7,16.5,60,0,0.33
14/01/2000,22.3,27.9,17,65,0,0.327
15/01/2000,23.1,28.4,18.9,67,0,0.324
16/01/2000,23.2,27.8,19.6,69,0,0.322
17/01/2000,22.3,26.6,18.4,70,0,0.321
18/01/2000,21.1,26.7,16.4,61,0,0.317
19/01/2000,22.5,28,17,64,0,0.313
20/01/2000,23.5,28.3,19.3,64,0,0.311
21/01/2000,24.7,29.5,20.3,62,0,0.309
22/01/2000,25.3,30.4,21.3,65,0,0.309
23/01/2000,25.9,31.6,20.8,61,0,0.308
24/01/2000,25.2,31.4,20,59,0,0.307
25/01/2000,24.4,30.7,18.7,57,0,0.305
26/01/2000,24.2,30.6,18.4,53,0,0.304
27/01/2000,24.6,32.5,15.8,55,0,0.304
28/01/2000,25.1,33.2,17.7,56,0,0.303
29/01/2000,26.8,33.8,20.8,61,0,0.303
30/01/2000,28.6,33.7,23.3,63,0.07,0.303
31/01/2000,26.1,31.1,23.3,81,2.23,0.309
01/02/2000,25.5,29,22.8,87,5.31,0.329
02/02/2000,25.9,31.6,21.7,66,0,0.328
03/02/2000,24.7,29.6,21.2,67,0,0.312
04/02/2000,25.9,31.5,21.2,61,0,0.304
05/02/2000,26.4,32.2,21.1,57,0,0.303
06/02/2000,25,30.4,20.8,58,0,0.302
07/02/2000,23.6,29,19.4,59,0,0.302
08/02/2000,23.8,29.4,19.5,56,0,0.302
09/02/2000,24,29.6,19.9,55,0,0.301
10/02/2000,24.1,29.7,19.5,56,0,0.301
11/02/2000,24.6,30.6,19.6,53,0,0.301
12/02/2000,24.7,30.6,20.1,52,0,0.3
13/02/2000,23.9,29.6,19.9,55,0,0.3
14/02/2000,23.4,28.7,19.4,57,0,0.3
15/02/2000,23.1,28.1,19.5,60,0,0.299
16/02/2000,22.6,28,18.3,57,0,0.299
17/02/2000,23,28.7,18.3,51,0,0.299
18/02/2000,24,29.8,18.9,56,0,0.299
19/02/2000,24.2,29.6,19.7,55,0,0.298
20/02/2000,24.1,29.9,18.9,50,0,0.298
21/02/2000,25.7,31,19.7,52,0,0.298
22/02/2000,27.7,32.9,22,49,0,0.297
23/02/2000,26.2,34,19.8,47,0,0.296
24/02/2000,29.1,34.8,23.3,50,0,0.296
25/02/2000,29.1,33.9,25,58,0,0.295
26/02/2000,29.3,33.8,25,56,0.06,0.295
27/02/2000,26.8,32.8,18.9,65,0.94,0.296
28/02/2000,25.9,34.3,17.7,43,0,0.294
29/02/2000,29.2,34.8,21.1,46,0,0.293
01/03/2000,28.9,33.1,24.5,60,0.17,0.294
02/03/2000,29.1,33.8,24.7,64,0.52,0.294
03/03/2000,28.5,34.9,18.3,46,0,0.292
04/03/2000,28.4,35.1,21.5,45,0,0.291
05/03/2000,27.7,33.8,21.5,41,0,0.291
06/03/2000,28,34.7,22,43,0,0.29
07/03/2000,27.7,34.4,22.4,47,0,0.289
08/03/2000,26.8,32.3,22.3,51,0,0.289
09/03/2000,26.5,32.2,22.1,51,0,0.288
10/03/2000,26.8,32.6,22.3,53,0,0.288
11/03/2000,27.4,33.1,21.9,50,0,0.287
12/03/2000,28.7,35.3,22.8,46,0,0.286
13/03/2000,29.5,35.3,21.7,53,0,0.286
14/03/2000,30,35.7,25,59,0.2,0.286
15/03/2000,28.6,31.2,25.6,70,0.99,0.288
16/03/2000,29.7,35.6,25.2,66,0.87,0.287
17/03/2000,29.7,34.3,24.9,62,0.34,0.286
18/03/2000,29.5,35.3,25.1,57,0.14,0.285
19/03/2000,28.7,32.9,25,60,0.07,0.285
20/03/2000,29.6,34.8,24.3,53,0,0.285
21/03/2000,30.2,36.4,24.5,46,0,0.284
22/03/2000,29.8,35.1,24.7,54,0,0.284
23/03/2000,30.4,37.3,23.2,48,0,0.283
24/03/2000,28.2,33.6,23.7,66,0.62,0.284
25/03/2000,28.7,35.2,23.9,65,0.35,0.284
26/03/2000,29.1,34.9,25.1,68,1.96,0.289
27/03/2000,27.9,33.9,23.9,74,0.98,0.294
28/03/2000,26.7,32.2,21.8,79,3.03,0.294
29/03/2000,29.3,35.5,23.2,53,0,0.289
30/03/2000,30.5,37,21.7,43,0,0.282
31/03/2000,30.3,38.2,23.5,50,0.57,0.282
01/04/2000,29.1,35.4,23.1,65,3.28,0.291
02/04/2000,28.2,34.6,23.1,69,2.93,0.308
03/04/2000,27.4,32.5,23.7,81,3.72,0.319
04/04/2000,27,28.7,25.7,88,3.52,0.324
05/04/2000,26.5,30.9,24.1,87,8.35,0.33
06/04/2000,26.3,31.1,24.7,87,7.86,0.335
07/04/2000,27.1,31.6,23.8,82,8.02,0.337
08/04/2000,27.4,32.8,23,73,0.07,0.328
09/04/2000,29.1,34.2,24.5,58,0,0.309
10/04/2000,28.5,33.5,24.6,63,0,0.302
11/04/2000,29.5,34.3,24.6,58,0,0.301
12/04/2000,28.1,33.9,25.5,77,13.87,0.335
13/04/2000,27,30.4,24.9,84,4.83,0.351
14/04/2000,27.1,30.1,24.6,83,3.3,0.349
15/04/2000,28,33.4,23.1,72,0.07,0.335
16/04/2000,27.5,31.2,25.5,81,2.94,0.329
17/04/2000,27.4,31,25.3,82,3.61,0.342
18/04/2000,26.4,29.6,24.2,87,6.71,0.356
19/04/2000,27.2,31.4,24.2,81,4.8,0.357
20/04/2000,27,31.3,24,85,8.8,0.365
21/04/2000,27.4,32.5,25.1,82,10.29,0.371
22/04/2000,26.9,29.8,25.4,87,13.86,0.384
23/04/2000,26.3,29.5,23.6,85,6.98,0.384
