time,river_discharge,temperature_mean,temperature_max,temperature_min,relative_humidity_mean,precipitation_sum,soil_moisture_mean,flood_occured,discharge_rolling_mean
01/01/2000,3.65,27.1,32.7,22.6,70,0.0,0.362,False,
02/01/2000,3.36,26.1,31.7,21.2,71,0.22,0.36,False,
03/01/2000,3.12,25.4,31.1,21.5,67,0.0,0.357,False,3.3766666666666665
04/01/2000,2.97,24.2,29.1,20.1,69,0.0,0.355,False,3.15
05/01/2000,2.89,23.7,29.2,19.6,66,0.0,0.351,False,2.9933333333333336
06/01/2000,2.91,22.8,27.8,19.3,69,0.0,0.35,False,2.9233333333333333
07/01/2000,2.94,22.9,27.1,19.6,65,0.0,0.348,False,2.9133333333333336
08/01/2000,2.87,23.4,28.1,19.9,63,0.0,0.344,False,2.9066666666666667
09/01/2000,2.75,24.3,27.9,20.5,70,0.0,0.345,False,2.8533333333333335
10/01/2000,2.64,24.3,29.0,20.9,65,0.0,0.342,False,2.753333333333334
11/01/2000,2.56,22.6,26.8,19.1,64,0.0,0.337,False,2.65
12/01/2000,3.14,21.1,26.3,16.4,64,0.0,0.334,False,2.78
13/01/2000,3.33,20.7,26.7,16.5,60,0.0,0.33,False,3.0100000000000002
14/01/2000,3.14,22.3,27.9,17.0,65,0.0,0.327,False,3.203333333333333
15/01/2000,2.95,23.1,28.4,18.9,67,0.0,0.324,False,3.14
16/01/2000,2.78,23.2,27.8,19.6,69,0.0,0.322,False,2.956666666666667
17/01/2000,2.64,22.3,26.6,18.4,70,0.0,0.321,False,2.7899999999999996
18/01/2000,2.53,21.1,26.7,16.4,61,0.0,0.317,False,2.65
19/01/2000,2.45,22.5,28.0,17.0,64,0.0,0.313,False,2.54
20/01/2000,2.37,23.5,28.3,19.3,64,0.0,0.311,False,2.45
21/01/2000,2.31,24.7,29.5,20.3,62,0.0,0.309,False,2.376666666666667
22/01/2000,2.27,25.3,30.4,21.3,65,0.0,0.309,False,2.316666666666667
23/01/2000,2.22,25.9,31.6,20.8,61,0.0,0.308,False,2.266666666666667
24/01/2000,2.34,25.2,31.4,20.0,59,0.0,0.307,False,2.276666666666667
25/01/2000,2.39,24.4,30.7,18.7,57,0.0,0.305,False,2.316666666666667
26/01/2000,2.33,24.2,30.6,18.4,53,0.0,0.304,False,2.3533333333333335
27/01/2000,2.28,24.6,32.5,15.8,55,0.0,0.304,False,2.3333333333333335
28/01/2000,2.25,25.1,33.2,17.7,56,0.0,0.303,False,2.2866666666666666
29/01/2000,2.21,26.8,33.8,20.8,61,0.0,0.303,False,2.2466666666666666
30/01/2000,2.17,28.6,33.7,23.3,63,0.07,0.303,False,2.2100000000000004
31/01/2000,2.16,26.1,31.1,23.3,81,2.23,0.309,False,2.18
01/02/2000,2.13,25.5,29.0,22.8,87,5.31,0.329,False,2.153333333333333
02/02/2000,2.11,25.9,31.6,21.7,66,0.0,0.328,False,2.1333333333333333
03/02/2000,2.09,24.7,29.6,21.2,67,0.0,0.312,False,2.11
04/02/2000,2.08,25.9,31.5,21.2,61,0.0,0.304,False,2.0933333333333333
05/02/2000,2.08,26.4,32.2,21.1,57,0.0,0.303,False,2.0833333333333335
06/02/2000,2.06,25.0,30.4,20.8,58,0.0,0.302,False,2.0733333333333337
07/02/2000,2.06,23.6,29.0,19.4,59,0.0,0.302,False,2.066666666666667
08/02/2000,2.06,23.8,29.4,19.5,56,0.0,0.302,False,2.06
09/02/2000,2.06,24.0,29.6,19.9,55,0.0,0.301,False,2.06
10/02/2000,2.06,24.1,29.7,19.5,56,0.0,0.301,False,2.06
11/02/2000,2.03,24.6,30.6,19.6,53,0.0,0.301,False,2.05
12/02/2000,2.03,24.7,30.6,20.1,52,0.0,0.3,False,2.0399999999999996
13/02/2000,2.03,23.9,29.6,19.9,55,0.0,0.3,False,2.03
14/02/2000,2.03,23.4,28.7,19.4,57,0.0,0.3,False,2.03
15/02/2000,2.03,23.1,28.1,19.5,60,0.0,0.299,False,2.03
16/02/2000,2.03,22.6,28.0,18.3,57,0.0,0.299,False,2.03
17/02/2000,2.03,23.0,28.7,18.3,51,0.0,0.299,False,2.03
18/02/2000,2.09,24.0,29.8,18.9,56,0.0,0.299,False,2.05
19/02/2000,2.16,24.2,29.6,19.7,55,0.0,0.298,False,2.0933333333333333
20/02/2000,2.37,24.1,29.9,18.9,50,0.0,0.298,False,2.2066666666666666
21/02/2000,2.72,25.7,31.0,19.7,52,0.0,0.298,False,2.4166666666666665
22/02/2000,3.41,27.7,32.9,22.0,49,0.0,0.297,False,2.8333333333333335
23/02/2000,3.59,26.2,34.0,19.8,47,0.0,0.296,False,3.24
24/02/2000,3.88,29.1,34.8,23.3,50,0.0,0.296,False,3.6266666666666665
25/02/2000,3.84,29.1,33.9,25.0,58,0.0,0.295,False,3.7699999999999996
26/02/2000,3.59,29.3,33.8,25.0,56,0.06,0.295,False,3.7699999999999996
27/02/2000,3.32,26.8,32.8,18.9,65,0.94,0.296,False,3.5833333333333335
28/02/2000,3.09,25.9,34.3,17.7,43,0.0,0.294,False,3.3333333333333335
29/02/2000,2.91,29.2,34.8,21.1,46,0.0,0.293,False,3.106666666666667
01/03/2000,2.75,28.9,33.1,24.5,60,0.17,0.294,False,2.9166666666666665
02/03/2000,2.66,29.1,33.8,24.7,64,0.52,0.294,False,2.7733333333333334
03/03/2000,2.66,28.5,34.9,18.3,46,0.0,0.292,False,2.69
04/03/2000,2.66,28.4,35.1,21.5,45,0.0,0.291,False,2.66
05/03/2000,2.53,27.7,33.8,21.5,41,0.0,0.291,False,2.6166666666666667
06/03/2000,2.47,28.0,34.7,22.0,43,0.0,0.29,False,2.5533333333333332
07/03/2000,2.4,27.7,34.4,22.4,47,0.0,0.289,False,2.466666666666667
08/03/2000,2.37,26.8,32.3,22.3,51,0.0,0.289,False,2.4133333333333336
09/03/2000,2.4,26.5,32.2,22.1,51,0.0,0.288,False,2.39
10/03/2000,2.34,26.8,32.6,22.3,53,0.0,0.288,False,2.3699999999999997
11/03/2000,2.28,27.4,33.1,21.9,50,0.0,0.287,False,2.34
12/03/2000,2.37,28.7,35.3,22.8,46,0.0,0.286,False,2.33
13/03/2000,2.62,29.5,35.3,21.7,53,0.0,0.286,False,2.4233333333333333
14/03/2000,3.35,30.0,35.7,25.0,59,0.2,0.286,False,2.78
15/03/2000,3.62,28.6,31.2,25.6,70,0.99,0.288,False,3.1966666666666668
16/03/2000,3.5,29.7,35.6,25.2,66,0.87,0.287,False,3.49
17/03/2000,3.53,29.7,34.3,24.9,62,0.34,0.286,False,3.5500000000000003
18/03/2000,3.35,29.5,35.3,25.1,57,0.14,0.285,False,3.4599999999999995
19/03/2000,3.12,28.7,32.9,25.0,60,0.07,0.285,False,3.3333333333333335
20/03/2000,3.0,29.6,34.8,24.3,53,0.0,0.285,False,3.1566666666666667
21/03/2000,2.87,30.2,36.4,24.5,46,0.0,0.284,False,2.9966666666666666
22/03/2000,2.72,29.8,35.1,24.7,54,0.0,0.284,False,2.8633333333333333
23/03/2000,2.6,30.4,37.3,23.2,48,0.0,0.283,False,2.7300000000000004
24/03/2000,2.5,28.2,33.6,23.7,66,0.62,0.284,False,2.606666666666667
25/03/2000,2.4,28.7,35.2,23.9,65,0.35,0.284,False,2.5
26/03/2000,2.31,29.1,34.9,25.1,68,1.96,0.289,False,2.4033333333333333
27/03/2000,2.25,27.9,33.9,23.9,74,0.98,0.294,False,2.32
28/03/2000,2.22,26.7,32.2,21.8,79,3.03,0.294,False,2.2600000000000002
29/03/2000,2.16,29.3,35.5,23.2,53,0.0,0.289,False,2.2100000000000004
30/03/2000,2.16,30.5,37.0,21.7,43,0.0,0.282,False,2.18
31/03/2000,2.13,30.3,38.2,23.5,50,0.57,0.282,False,2.15
01/04/2000,2.13,29.1,35.4,23.1,65,3.28,0.291,False,2.14
02/04/2000,2.31,28.2,34.6,23.1,69,2.93,0.308,False,2.19
03/04/2000,2.69,27.4,32.5,23.7,81,3.72,0.319,False,2.3766666666666665
04/04/2000,3.12,27.0,28.7,25.7,88,3.52,0.324,False,2.706666666666667
05/04/2000,3.19,26.5,30.9,24.1,87,8.35,0.33,False,3.0
06/04/2000,3.09,26.3,31.1,24.7,87,7.86,0.335,False,3.1333333333333333
07/04/2000,2.91,27.1,31.6,23.8,82,8.02,0.337,False,3.063333333333333
08/04/2000,2.81,27.4,32.8,23.0,73,0.07,0.328,False,2.936666666666667
09/04/2000,3.35,29.1,34.2,24.5,58,0.0,0.309,False,3.0233333333333334
